OBJECTID,GlobalID,type,source,poly_DateCurrent,mission,incident_name,incident_number,area_acres,description,FireDiscoveryDate,CreationDate,EditDate,displayStatus
173,c252e35b-4045-44d4-afb9-64a3fedac159,Heat Perimeter,FIRIS,2024/06/15 18:06:38.096+00,CA-SCU-FELIPE-N57B,,,18.259753684363,FIRIS Perimeter,,2024/06/15 17:49:49+00,2024/06/15 18:08:32.206+00,Inactive
174,97cb83a5-a8bc-4d7b-ba1a-b70f81fe6d6b,Heat Perimeter,FIRIS,2024/06/15 18:06:38.096+00,CA-SCU-FELIPE-N57B,,,18.259753684363,FIRIS Perimeter,,2024/06/15 17:49:49+00,2024/06/15 18:08:32.206+00,Inactive
175,580eaa14-4fc5-47d4-b3b5-e3a7bf840ed4,Heat Perimeter,FIRIS,2024/06/15 23:16:23.519+00,CA-LAC-POST-N43U,,,2012.42621713867,FIRIS Perimeter,,2024/06/15 23:15:13+00,2024/06/15 23:18:52.822+00,Inactive
176,7baff379-59a1-40ef-8ae7-ef23123000b7,Heat Perimeter,FIRIS,2024/06/15 23:49:20.236+00,CA-BTU-JUNES-N57B,,,744.99436523046,FIRIS Perimeter,,2024/06/15 23:45:22+00,2024/06/15 23:58:58.151+00,Inactive
177,25628ec9-1dd8-4267-870f-ca6ee62f5bbb,Heat Perimeter,FIRIS,2024/06/16 00:08:00.738+00,CA-LAC-POST-N43U,,,3610.72797944083,FIRIS Perimeter,,2024/06/16 00:06:35+00,2024/06/16 00:12:03.276+00,Inactive
178,4a11dbea-917a-4eb3-914e-59212807e0ff,Heat Perimeter,FIRIS,2024/06/16 00:18:47.093+00,CA-BTU-ROCKY-N57B,,,10.253265949661,FIRIS Perimeter,,2024/06/16 00:17:09+00,2024/06/16 00:22:08.276+00,Inactive
179,9b24cc48-6a4d-4223-b1c7-60ceae4754e2,Heat Perimeter,FIRIS,2024/06/16 00:51:46.789+00,CA-BTU-JUNES-2-N57B,,,315.72945337271,FIRIS Perimeter,,2024/06/16 00:50:51+00,2024/06/16 00:54:14.777+00,Inactive
180,5bba9c93-72c8-4050-88a5-8a5606506d1f,Heat Perimeter,FIRIS,2024/06/16 02:30:03.584+00,CA-BDU-HESPERIA-N43U,,,283.752705295435,FIRIS Perimeter,,2024/06/16 02:24:33+00,2024/06/16 02:34:36.781+00,Inactive
181,ca2439ec-f7bc-4e4c-85f4-1dc1efd611d4,Heat Perimeter,FIRIS,2024/06/16 07:09:35.833+00,CA-LAC-POST-N43U,,,10504.553353689,FIRIS Perimeter,,2024/06/16 07:07:56+00,2024/06/16 07:12:49.455+00,Inactive
182,7757d73d-b27e-46f3-8058-eb3ece90aecb,Heat Perimeter,FIRIS,2024/06/16 08:06:27.660+00,CA-BDU-HESPERIA-N43U,,,1130.45464688963,FIRIS Perimeter,,2024/06/16 08:04:06+00,2024/06/16 08:09:02.810+00,Inactive
183,951049f0-0344-4113-9662-1ad02a186aba,Heat Perimeter,FIRIS,2024/06/16 17:40:58.692+00,CA-LAC-POST-N43U,,,12264.4205545464,FIRIS Perimeter,,2024/06/16 17:40:03+00,2024/06/16 17:44:08.301+00,Inactive
184,1923e3dc-be58-4111-9680-e46c6e301e2c,Heat Perimeter,FIRIS,2024/06/16 19:58:38.704+00,CA-SAC-JACKSON-N57B,,,684.924453339156,FIRIS Perimeter,,2024/06/16 19:57:03+00,2024/06/16 20:01:38.718+00,Inactive
185,e5f8eef5-8018-433f-9db1-ab077e83a941,Heat Perimeter,FIRIS,2024/06/16 20:47:39.713+00,CA-SCA-JACKSON-UPDATE-N57B,,,876.496409597363,FIRIS Perimeter,,2024/06/16 20:46:51+00,2024/06/16 20:49:45.503+00,Inactive
186,cda48197-8a4d-4e77-af12-3291ad621f6c,Heat Perimeter,FIRIS,2024/06/16 20:47:39.713+00,CA-SCA-JACKSON-UPDATE-N57B,,,876.496409597363,FIRIS Perimeter,,2024/06/16 20:46:51+00,2024/06/16 20:49:45.503+00,Inactive
187,df4804cb-aa91-4240-b0f9-cef249854342,Heat Perimeter,FIRIS,2024/06/16 20:47:39.713+00,CA-SCA-EXCELSIOR-N57B,,,876.496409597363,FIRIS Perimeter,,2024/06/16 20:46:51+00,2024/06/16 20:53:43.754+00,Inactive
188,11e14b23-b2d3-4652-9dc3-c133a60723bb,Heat Perimeter,FIRIS,2024/06/16 21:53:20.323+00,CA-LNU-POINT-N57B,,,121.226961642667,FIRIS Perimeter,,2024/06/16 21:52:36+00,2024/06/16 21:56:05.478+00,Inactive
189,b9d5d003-8d1a-4b45-bb54-49025c55faa8,Heat Perimeter,FIRIS,2024/06/16 22:05:45.659+00,CA-BDC-SUMMIT-N43U,,,12.5254340610076,FIRIS Perimeter,,2024/06/16 22:02:11+00,2024/06/16 22:08:10.978+00,Inactive
190,7a8517d2-dc7b-426a-a0ab-b54a4aa7c5ad,Heat Perimeter,FIRIS,2024/06/16 22:19:00.364+00,CA-BDF-BROOK-N43U,,,1.01280814243376,FIRIS Perimeter,,2024/06/16 22:17:42+00,2024/06/16 22:22:15.106+00,Inactive
